loss,grad_norm,learning_rate,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5884,3.5746302604675293,4.988341968911917e-05,0.010362694300518135,,,,,,,,,
1.4833,3.7749440670013428,4.9753886010362696e-05,0.02072538860103627,,,,,,,,,
1.3866,5.008054733276367,4.9624352331606224e-05,0.031088082901554404,,,,,,,,,
1.3807,13.420113563537598,4.9494818652849745e-05,0.04145077720207254,,,,,,,,,
1.0941,9.964301109313965,4.937823834196891e-05,0.05181347150259067,,,,,,,,,
1.0188,9.09909725189209,4.926165803108809e-05,0.06217616580310881,,,,,,,,,
1.1154,8.49758529663086,4.913212435233161e-05,0.07253886010362694,,,,,,,,,
0.9882,18.042762756347656,4.900259067357513e-05,0.08290155440414508,,,,,,,,,
0.8905,13.906010627746582,4.887305699481865e-05,0.09326424870466321,,,,,,,,,
0.7155,6.628150939941406,4.874352331606218e-05,0.10362694300518134,,,,,,,,,
0.6859,32.05849075317383,4.86139896373057e-05,0.11398963730569948,,,,,,,,,
0.6848,3.9810261726379395,4.848445595854922e-05,0.12435233160621761,,,,,,,,,
0.6573,10.606156349182129,4.835492227979275e-05,0.13471502590673576,,,,,,,,,
0.5333,10.703194618225098,4.822538860103627e-05,0.14507772020725387,,,,,,,,,
0.4513,13.770938873291016,4.809585492227979e-05,0.15544041450777202,,,,,,,,,
0.4093,16.947317123413086,4.796632124352332e-05,0.16580310880829016,,,,,,,,,
0.6456,9.59175968170166,4.783678756476684e-05,0.17616580310880828,,,,,,,,,
0.4244,9.108133316040039,4.770725388601037e-05,0.18652849740932642,,,,,,,,,
0.3784,1.3394593000411987,4.757772020725389e-05,0.19689119170984457,,,,,,,,,
0.4816,10.052618026733398,4.744818652849741e-05,0.20725388601036268,,,,,,,,,
0.3804,10.880030632019043,4.731865284974093e-05,0.21761658031088082,,,,,,,,,
0.4151,27.8111629486084,4.718911917098446e-05,0.22797927461139897,,,,,,,,,
0.2452,4.353953838348389,4.705958549222798e-05,0.23834196891191708,,,,,,,,,
0.4567,11.556477546691895,4.69300518134715e-05,0.24870466321243523,,,,,,,,,
0.279,3.721095323562622,4.680051813471503e-05,0.25906735751295334,,,,,,,,,
0.3967,37.69576644897461,4.667098445595855e-05,0.2694300518134715,,,,,,,,,
0.3993,3.381821870803833,4.654145077720207e-05,0.27979274611398963,,,,,,,,,
0.334,15.507598876953125,4.641191709844559e-05,0.29015544041450775,,,,,,,,,
0.3742,23.911373138427734,4.628238341968912e-05,0.3005181347150259,,,,,,,,,
